FID,feat_code,shape_area,shape_leng,source_id,status,sub_code,centroid_x,centroid_y
18868,5000.000000000000000,24110.307167499999196,981.963861201999975,19500001554.000000000000000,New,500000.000000000000000,-74.013409758999998,40.680263298500002
18869,5000.000000000000000,16129.661773899999389,588.152416000000017,19500001555.000000000000000,New,500000.000000000000000,-73.924381085899995,40.710308193499998
18870,5000.000000000000000,26504.703611299999466,741.360105946999965,19500001556.000000000000000,New,500000.000000000000000,-73.923882791400004,40.710419712700002
18871,5000.000000000000000,28011.477560899998934,744.054006154000035,19500001557.000000000000000,New,500000.000000000000000,-73.926614925799996,40.709764007099999
18872,5000.000000000000000,6009.828764349999801,323.999938421000024,19500001558.000000000000000,New,500000.000000000000000,-73.926827286299996,40.709543405300003
18873,5000.000000000000000,31731.605424900000799,848.785351652000031,19500001559.000000000000000,New,500000.000000000000000,-73.929069753700006,40.708789541999998
18874,5000.000000000000000,6008.709026749999794,343.292751534999979,19500001560.000000000000000,New,500000.000000000000000,-73.937978819999998,40.711230923400002
18875,5000.000000000000000,13403.149833400000716,519.689714019999997,19500001561.000000000000000,New,500000.000000000000000,-74.020165318899998,40.648956604799999
18876,5000.000000000000000,14705.272330199999487,561.036946432000036,19500001562.000000000000000,New,500000.000000000000000,-74.019703253200007,40.648686143600003
18877,5000.000000000000000,6761.820814650000102,419.248025654000003,19500001563.000000000000000,New,500000.000000000000000,-73.925708330399999,40.714283484799999
18878,5000.000000000000000,26015.777536000001419,871.003682690000005,19500001564.000000000000000,New,500000.000000000000000,-73.926429617799997,40.714959505400003
18879,5000.000000000000000,29022.472151000001759,1118.203031849999888,19500001565.000000000000000,New,500000.000000000000000,-73.925682768599998,40.715127124900000
18880,5000.000000000000000,4435.984074070000133,295.074133854000024,19500001566.000000000000000,New,500000.000000000000000,-73.926468307099995,40.713777600199997
18881,5000.000000000000000,10782.924821700000393,438.779567310999994,19500001567.000000000000000,New,500000.000000000000000,-73.926401384800002,40.713526368600000
18882,5000.000000000000000,10043.911485700000412,466.762885055000027,19500001568.000000000000000,New,500000.000000000000000,-73.925467813799997,40.713735989100002
18883,5000.000000000000000,8790.033365310000590,641.091556369000045,19500001569.000000000000000,New,500000.000000000000000,-73.925201709000007,40.712592690599998
18884,5000.000000000000000,11732.126459700000851,460.170359430000019,19500001570.000000000000000,New,500000.000000000000000,-73.953628502599997,40.694611180000003
18885,5000.000000000000000,2198.956311259999893,219.316177613999997,19500001571.000000000000000,New,500000.000000000000000,-73.953473093100001,40.675593185600000
18886,5000.000000000000000,6220.947621299999810,398.881897524000010,19500001572.000000000000000,New,500000.000000000000000,-73.952573143799995,40.655146624300002
18887,5000.000000000000000,2608.327829370000018,250.898703420000004,19500001573.000000000000000,New,500000.000000000000000,-73.955473005499996,40.640908490199998
18888,5000.000000000000000,4419.104533699999592,480.253009887000019,19500001574.000000000000000,New,500000.000000000000000,-73.962326896500002,40.701229968699998
18889,5000.000000000000000,5160.215662030000203,321.139184711999974,19500001575.000000000000000,New,500000.000000000000000,-73.955463793199996,40.670452529800002
18890,5000.000000000000000,5606.039520440000160,408.185816116000012,19500001576.000000000000000,New,500000.000000000000000,-73.945976495099998,40.678576863499998
18891,5000.000000000000000,3037.979774469999938,273.063634893000028,19500001577.000000000000000,New,500000.000000000000000,-73.943947877599996,40.678435874199998
18892,5000.000000000000000,15859.571586000000025,837.187275944000021,19500001578.000000000000000,New,500000.000000000000000,-73.957925319400005,40.725902405200003
18893,5000.000000000000000,7040.790039720000095,381.714945516999990,19500001579.000000000000000,New,500000.000000000000000,-73.987873364400002,40.681443426900003
18894,5000.000000000000000,5269.415346540000428,325.436334836000015,19500001580.000000000000000,New,500000.000000000000000,-73.963166810100006,40.635442352699997
18895,5000.000000000000000,5985.143911529999968,351.917945802000020,19500001581.000000000000000,New,500000.000000000000000,-73.974611732599996,40.685241224899997
18896,5000.000000000000000,3810.376453159999983,305.580300448999992,19500001582.000000000000000,New,500000.000000000000000,-73.974858841800000,40.685249849199998
18897,5000.000000000000000,13065.555798699999286,488.158427775000007,19500001583.000000000000000,New,500000.000000000000000,-73.969359419000000,40.682450330800002
18898,5000.000000000000000,2910.223678379999910,247.951751929000011,19500001584.000000000000000,New,500000.000000000000000,-74.000113612600003,40.677433006599998
18899,5000.000000000000000,5313.620793039999626,372.050759314000004,19500001585.000000000000000,New,500000.000000000000000,-74.003629989499998,40.680962212300003
18900,5000.000000000000000,2431.365759039999830,269.513250686999982,19500001586.000000000000000,New,500000.000000000000000,-74.003158421799995,40.681161426000003
18901,5000.000000000000000,6045.502340250000088,470.657697939000002,19500001587.000000000000000,New,500000.000000000000000,-74.004366154500005,40.676312254599999
18902,5000.000000000000000,6974.813019559999702,520.069078592999972,19500001588.000000000000000,New,500000.000000000000000,-74.003771516900002,40.676164286899997
18903,5000.000000000000000,20237.422462700000324,635.469268933999956,19500001589.000000000000000,New,500000.000000000000000,-74.003482715000004,40.676592016699999
18904,5000.000000000000000,26622.399091600000247,1007.687970729999961,19500001592.000000000000000,New,500000.000000000000000,-74.005507116800004,40.658223279900000
18905,5000.000000000000000,5837.459951580000052,342.238462766999987,19500001593.000000000000000,New,500000.000000000000000,-74.003873170500000,40.684403678999999
18906,5000.000000000000000,48821.412139799998840,1453.518418619999920,19500001594.000000000000000,New,500000.000000000000000,-73.998994276700003,40.664102385699998
18907,5000.000000000000000,25382.114923599998292,1012.668811949999963,19500001595.000000000000000,New,500000.000000000000000,-73.999765818900002,40.663649040300001
18908,5000.000000000000000,6719.721002960000078,358.491237500000011,19500001596.000000000000000,New,500000.000000000000000,-73.998339003900000,40.658205595799998
18909,5000.000000000000000,6504.559689120000257,375.640032689999998,19500001597.000000000000000,New,500000.000000000000000,-73.998165756500001,40.658068621399998
18910,5000.000000000000000,33309.389892300001520,792.129243030999987,19500001598.000000000000000,New,500000.000000000000000,-74.002266759700007,40.660753163099997
18911,5000.000000000000000,9701.766050500000347,660.052202029000000,19500001599.000000000000000,New,500000.000000000000000,-73.932252921400007,40.713276509799996
18912,5000.000000000000000,7904.326469100000395,399.590276653999979,19500001600.000000000000000,New,500000.000000000000000,-73.932317199400003,40.713848284100003
18913,5000.000000000000000,18859.084111200001644,785.959903522999980,19500001601.000000000000000,New,500000.000000000000000,-73.932457728000003,40.713506109199997
18914,5000.000000000000000,17931.283347799999319,643.912170846999970,19500001602.000000000000000,New,500000.000000000000000,-73.932857514199995,40.713461024399997
18915,5000.000000000000000,4423.022186340000189,378.355992028999992,19500001603.000000000000000,New,500000.000000000000000,-73.933152859600000,40.713465445099999
18916,5000.000000000000000,12979.203191599999627,583.894679731999986,19500001604.000000000000000,New,500000.000000000000000,-73.930606851899995,40.714644208999999
18917,5000.000000000000000,5362.864367459999812,353.664734905999978,19500001605.000000000000000,New,500000.000000000000000,-73.932531745199995,40.714185355399998
18918,5000.000000000000000,13124.717737499999203,487.377092753999989,19500001606.000000000000000,New,500000.000000000000000,-73.932978093200006,40.714133558100002
18919,5000.000000000000000,8157.875684200000251,470.610009966999996,19500001607.000000000000000,New,500000.000000000000000,-73.932826173699993,40.699892409999997
18920,5000.000000000000000,75963.805550200006110,1268.285020040000063,19500001609.000000000000000,New,500000.000000000000000,-74.011444789699993,40.672984664399998
18921,5000.000000000000000,3945.265604199999871,267.254464880000000,19500001610.000000000000000,New,500000.000000000000000,-74.010696382000006,40.673322910200000
18922,5000.000000000000000,36905.563879799999995,796.627098582000031,19500001611.000000000000000,New,500000.000000000000000,-74.013219092100002,40.674173932400002
18923,5000.000000000000000,35045.227063500002259,813.210009022000008,19500001612.000000000000000,New,500000.000000000000000,-74.012722575799998,40.673857853100003
18924,5000.000000000000000,4243.240594699999747,284.750354996999988,19500001613.000000000000000,New,500000.000000000000000,-74.012181478599999,40.674153649799997
18925,5000.000000000000000,3552.870321400000194,375.374444927000013,19500001614.000000000000000,New,500000.000000000000000,-74.007321464499995,40.642979982000000
18926,5000.000000000000000,2657.405041989999972,355.344120191000002,19500001615.000000000000000,New,500000.000000000000000,-74.007723953500005,40.642951486999998
18927,5000.000000000000000,3443.190210140000090,378.657941180000023,19500001616.000000000000000,New,500000.000000000000000,-74.007850184500001,40.643281985500003
18928,5000.000000000000000,4245.928559639999548,310.901402486999984,19500001617.000000000000000,New,500000.000000000000000,-74.010906790199996,40.654307598199999
18929,5000.000000000000000,5804.405156699999679,394.789827525000021,19500001618.000000000000000,New,500000.000000000000000,-74.011115474099995,40.654419357800002
18930,5000.000000000000000,41489.738853599999857,986.929490310999995,19500001619.000000000000000,Updated,500000.000000000000000,-74.017579115700002,40.675758075700003
18931,5000.000000000000000,8335.719455829999788,446.452054851000014,19500001622.000000000000000,New,500000.000000000000000,-74.020589613300004,40.649617358599997
18932,5000.000000000000000,7073.323199649999879,686.190318144000003,19500001623.000000000000000,New,500000.000000000000000,-74.021214342600004,40.649958142599999
18933,5000.000000000000000,64484.653489800002717,1176.863484460000109,19500001624.000000000000000,New,500000.000000000000000,-73.925591386600004,40.725956111800002
18934,5000.000000000000000,15834.105395200000203,678.247719422000046,19500001625.000000000000000,New,500000.000000000000000,-74.010671794900006,40.653067730600000
18935,5000.000000000000000,9391.293234639999355,432.488134580999997,19500001659.000000000000000,New,500000.000000000000000,-73.928067835400000,40.709371792399999
18936,5000.000000000000000,37288.170959700000822,1580.230654120000054,19500001626.000000000000000,New,500000.000000000000000,-74.001050969700003,40.666997092899997
18937,5000.000000000000000,31527.076040100000682,861.951994999000021,19500001627.000000000000000,New,500000.000000000000000,-74.000829865399993,40.666459624200002
18938,5000.000000000000000,30407.221181100001559,792.659117429000048,19500001628.000000000000000,New,500000.000000000000000,-74.000365958900005,40.666121418000003
18939,5000.000000000000000,5401.365595639999810,332.967286956999999,19500001629.000000000000000,New,500000.000000000000000,-73.922844007400002,40.720360602600003
18940,5000.000000000000000,18127.798269399998389,779.484526050999989,19500001630.000000000000000,New,500000.000000000000000,-73.921972527899996,40.720533596599999
18941,5000.000000000000000,18536.660260799999378,728.061421408000001,19500001631.000000000000000,New,500000.000000000000000,-73.922358783500002,40.721368815200002
18942,5000.000000000000000,6979.479346400000395,431.557007114999976,19500001632.000000000000000,New,500000.000000000000000,-73.995544114200001,40.659622327599998
18943,5000.000000000000000,9032.820562860000791,462.463247765000006,19500001633.000000000000000,New,500000.000000000000000,-73.913881917900000,40.706741596500002
18944,5000.000000000000000,2896.276193690000127,271.190453497000021,19500001634.000000000000000,New,500000.000000000000000,-73.993056612299995,40.666757490300000
18945,5000.000000000000000,19137.609054600001400,710.521636764000050,19500001635.000000000000000,New,500000.000000000000000,-74.014801183900005,40.675242922499997
18946,5000.000000000000000,18843.721797199999855,888.589207011999974,19500001636.000000000000000,New,500000.000000000000000,-73.934966761300004,40.726760139800000
18947,5000.000000000000000,15697.487197599999490,607.786443516999952,19500001637.000000000000000,New,500000.000000000000000,-74.000110282799994,40.672126091800003
18948,5000.000000000000000,5959.079303370000162,693.732350807999978,19500001639.000000000000000,New,500000.000000000000000,-74.029202985200001,40.637077496600000
18949,5000.000000000000000,63625.975628000000142,1748.759882699999935,19500001642.000000000000000,New,500000.000000000000000,-73.933586633800005,40.728113233000002
18950,5000.000000000000000,49069.264733299998625,911.543753918999982,19500001644.000000000000000,New,500000.000000000000000,-74.009579281000001,40.674034648000003
18951,5000.000000000000000,5900.098341029999574,469.332663899000011,19500001645.000000000000000,New,500000.000000000000000,-73.932982885900003,40.715495810900002
18952,5000.000000000000000,4984.984985420000157,405.039526953999996,19500001646.000000000000000,New,500000.000000000000000,-73.933107675299993,40.715506771599998
18953,5000.000000000000000,14178.078694399999222,856.272973434000050,19500001647.000000000000000,New,500000.000000000000000,-73.933276615500006,40.716273475199998
18954,5000.000000000000000,27746.738188899998931,872.414095447000022,19500001648.000000000000000,New,500000.000000000000000,-73.933009037399998,40.717106450700001
18955,5000.000000000000000,28546.856480800001009,1325.573174070000050,19500001649.000000000000000,New,500000.000000000000000,-73.930051224400003,40.716826497100001
18956,5000.000000000000000,19366.217764000000898,999.473049200999981,19500001650.000000000000000,New,500000.000000000000000,-73.931756197499993,40.715591322000002
18957,5000.000000000000000,14884.693027499999516,926.077902156000050,19500001651.000000000000000,New,500000.000000000000000,-73.931225453899998,40.715719721900001
18958,5000.000000000000000,51312.747614499996416,1779.345633240000097,19500001652.000000000000000,New,500000.000000000000000,-73.922817321699995,40.714781495700002
18959,5000.000000000000000,4025.068787809999776,302.548708006000027,19500001653.000000000000000,New,500000.000000000000000,-74.015968309399994,40.648252956199997
18960,5000.000000000000000,6973.047277259999646,393.213215830000024,19500001654.000000000000000,New,500000.000000000000000,-74.004124167499995,40.677422729500002
18961,5000.000000000000000,7976.901938570000311,397.614317410000012,19500001655.000000000000000,New,500000.000000000000000,-74.001706929700006,40.674229244099998
18962,5000.000000000000000,12000.495023999999830,533.164382853999996,19500001656.000000000000000,New,500000.000000000000000,-74.001215757599994,40.674454309200001
18963,5000.000000000000000,11045.558866699999271,624.681852489999983,19500001657.000000000000000,New,500000.000000000000000,-74.019607397300007,40.636487896500000
18964,5000.000000000000000,183538.253422999987379,3315.046029579999868,19500001660.000000000000000,New,500000.000000000000000,-73.929693350299999,40.709579130800002
